英灵姓名,No,身高,体重,出处,地域,日文名,英文名,画师,声优,职阶,性别,属性,阵营,筋力,耐久,敏捷,魔力,幸运,宝具,特性,角色详情,资料一,资料二,资料三,资料四,资料五,资料六,羁绊礼装名称,羁绊礼装解说,羁绊礼装图片,羁绊礼装代替文字,所属作品,
玛修・基列莱特,1,158cm,46kg,Fate,迦勒底,マシュ・キリエライト,Mash Kyrielight,武内崇,种田梨沙(原)→高桥李依(现),Shielder,女性,秩序·善,地,C,A,D,B,C,,骑乘、天地从者(亚从者),"迦勒底局成员——玛修·基列莱特，
与从者附体融合后的模样。
被称为亚从者。","身高／体重：158cm·46kg
出处：Fate/Grand Order
地域：迦勒底
属性：秩序·善　　性别：女性","假想宝具 拟似展开/人理之础
阶级：D　种类：对人宝具
Lord Chaldeas。
不知附体英灵真名的情况下，玛修以本能展开的宝具。
可以在前方展开强大的守护壁垒。
之所以将宝具冠以迦勒底之名，
或许因为玛修本质的愿望是能够“看到人类的未来”吧。

通关「复制品(4/5)」后开放

『已然遥远的理想之城』
阶级：B+++　种类：对恶宝具
Lord Camelot。
英灵·加拉哈德拥有的宝具。
使用白垩之城卡美洛的中心，
圆桌骑士们围坐的圆桌作为盾的究极防守。
其强度与使用者的精神力相呼应，
只要心不屈服，城墙就绝不会崩塌。","己阵防御：C
守护己方或是己方阵营时发挥的实力。
能突破防御极限值地削减我方遭到的伤害，
但自身并不算在防御对象内。
此外，阶级越高，守备范围越广。","玛修获得了附体于自己身上的英灵的真名。
该骑士的名字是加拉哈德。
是亚瑟王传说中的圆桌骑士之一。
独自一人获得了圣杯并升天的圣者。
迦勒底使用独自的方法成功召唤英灵，
构筑其根干的，是成为加拉哈德召唤触媒的
『英雄们聚集之所』——玛修所持有的用圆桌做成的盾。","通过经历了七个特异点，克服了无数战斗，
她已经完全是独立的人，
完全成长为一位不再借用他人力量的从者。

尚不知道真名的她使用的假想宝具，
人理之础（Lord Chaldeas）。
这是她“看到人类未来”这由衷愿望成形后的产物。

……围绕人理烧却的战斗即将结束。
她的旅途将画上怎样的句号。
星之兽静静地见证着这雪花般的光景。",?,？,？,？,,,
阿尔托莉雅・潘德拉贡,2,154cm,42kg,亚瑟王传说,英国,アルトリア・ペンドラゴン,Altria Pendragon,武内崇,川澄绫子,Saber,女性,秩序·善,地,B,B,B,A,A+,A++,骑乘、龙、阿尔托莉雅脸、天地从者、亚瑟、王,"不列颠传说中的王。也被誉为骑士王。
阿尔托莉雅是幼名，自从当上国王之后，
就开始被称为亚瑟王了。
在骑士道凋零的时代，手持圣剑，
给不列颠带来了短暂的和平与最后的繁荣。
史实上虽为男性，
但在这个世界内却似乎是男装丽人。","身高／体重：154cm·42kg
出处：亚瑟王传说
地域：英国
属性：秩序·善　　性别：女性
行为举止都以男性为标准，
因此很不擅长应对异性向自己表达的好感。","崇尚万人眼中正确生活、正确人生的
理想王者之一。
锄强扶弱，是个无可非议的人物。
冷静沉着，无论何时都十分认真的优等生。
尽管如此……虽说从不愿意开口承认，
但她却有着不服输的一面。对任何需要一争高下的事
都不会手下留情，一旦败北则会非常懊悔。","领袖气质：B
具有指挥军团的天生才能。
在团体战斗中，可令我军的能力提升。
贯彻清廉正直，大公无私的王。
其公正令骑士们愿意守护于她的身旁，
令民众们在对贫困的忍耐中看到了希望。
她的王者之路并不是为了统帅少数强者，
而是为了领导更多无力之人而存在的。","『誓约胜利之剑』
阶级：A++　种类：对城宝具
Excalibur。
这并非人造的武器，而是由星锻造而成神造兵器。
立于圣剑顶点的宝具。
拥有真正强大力量的应是剑鞘，
而不是剑本身，但剑鞘据说已永远遗失了。","亚瑟王传说以骑士时代的终结为结局。
亚瑟王虽然击退了异民族，
但却无法回避不列颠土地的毁灭。
圆桌骑士之一·莫德雷德的反叛
导致国家一分为二，骑士之城卡美洛也失去了其辉煌。",?,星之王冠,"传承如是说。
所谓王，即为高贵而神圣，高不可攀之人。
结局总是充实而富足的未来。
星辰如是说。
然时代会变迁，生活会变化。
王的统治终将走向毁灭。

王冠知晓一切，却依然在头上闪耀。
没有任何回报。
哪怕目标所在只是个遥不可及的理想。",https://fgo.wiki/images/thumb/6/60/%E6%98%9F%E4%B9%8B%E7%8E%8B%E5%86%A0.png/300px-%E6%98%9F%E4%B9%8B%E7%8E%8B%E5%86%A0.png,星之王冠.png,-,
阿尔托莉雅・潘德拉贡(Alter),3,154cm,42kg,亚瑟王传说,英国,アルトリア・ペンドラゴン,Altria Pendragon,武内崇,川澄绫子,Saber,女性,秩序·恶,人,A,A,D,A++,C,A++,龙、阿尔托莉雅脸、亚瑟、王,"被圣杯的诅咒侵蚀，骑士王冷酷无情的另一面。
亦或亚瑟王所追求的“理想之王”，
正是这样的一种存在吧。
阿尔托莉雅平时会克制自己的力量，
但处于这种状态下的她,
不会对使用强大魔力有丝毫的踌躇。","身高／体重：154cm·42kg
出处：亚瑟王传说
地域：英国
属性：秩序·恶　　性别：女性
冷酷无情的暴君。龙的胃口是很大的。","由于铠甲被染成漆黑，并且重量也随之增加，
力量比平时更为强大。相反，敏捷性似乎有些下降。
没有无谓的言行，性格冷酷，与阿尔托莉雅判若两人，
然而只要细心与她接触，
想必就能发现其本质还是相同的。","魔力放出：Ａ
令武器乃至自身的肉体充斥魔力，
并瞬间释放来提升能力。相当于魔力的喷射。
阿尔托莉雅自身的筋力与常人无异，
但通过使用过剩的魔力强化所有的行动，
才得以打倒众多敌人。","『誓约胜利之剑』
阶级：A++　种类：对城宝具
Excalibur Morgan。黑色极光之剑。
由于她不对自己的魔力加以抑制，全力挥动圣剑，
令魔力粒子不再是光，而是成为了吞噬光的黑暗。
这模样与为了保护不列颠岛而出现的魔龙——
伏提庚的气息很相似。","阿尔托莉雅生前虽从未坠入邪恶之路，
但她也有过迷茫与纠葛，
有过对自身的愤怒，有过对周围的哀叹。
正是这些要素因诅咒而显现为现在的模样，
逆转了她的“方针”。她的目的与理想本身并没有改变。
正常的阿尔托莉雅为了理想会贯彻清廉，
然而这位则觉得为了理想可以实施高压政治。",?,龙之记忆,"其心脏由龙之概念所成。

媲美地热的魔力量。
龙之咆哮化为心跳，
王挥下了星辰之剑。

圣剑之所以为最强，
都是因为持剑之人的力量。",https://fgo.wiki/images/thumb/c/cf/%E9%BE%99%E4%B9%8B%E8%AE%B0%E5%BF%86.png/300px-%E9%BE%99%E4%B9%8B%E8%AE%B0%E5%BF%86.png,龙之记忆.png,-,
阿尔托莉雅・潘德拉贡(Lily),4,154cm,42kg,亚瑟王传说,英国,アルトリア・ペンドラゴン,Altria Pendragon,武内崇,川澄绫子,Saber,女性,秩序·善,地,C,C,B,A,A+,B,骑乘、龙、阿尔托莉雅脸、天地从者、亚瑟、王,"拔出了选定之剑Caliburn，
刚开始踏上王之道路的阿尔托莉雅的模样。
还是个不成熟的少女骑士。
其容貌宛若惹人怜爱的百合，
此外，其眼瞳中充满着闪烁的希望。
她为了积累更多的经验遍历国境，
留下了诸多冒险传说。
被她搭救的人们似乎纷纷称颂这华美的少女为骑士姬。","身高／体重：154cm·42kg
出处：亚瑟王传说
地域：英国
属性：秩序·善　　性别：女性
虽然王者修行很艰苦，但只要能照顾马就是一种幸福。","为了成为理想的王而日夜钻研的浪漫骑士。
由于尚未成熟，还无法拭去少女的稚嫩，
其内心充满了梦想与希望。
漫游诸国时，队伍内有她的义兄凯及随同的魔术师梅林，
所有的问题基本都是由阿尔托莉雅的多管闲事开的头，
而梅林的嘲讽将事情闹大，最后由凯负责收拾残局。","直觉：B
在战斗时，总能“感知到”对自己而言
最理想的事态发展的能力。
敏锐的第六感已经近乎预知未来。
可以让干涉视觉·听觉的障碍减半。
然而直觉敏锐也不全是好事。
由于一眼就能敏感地觉察对方的烦恼，
所以每见到一个人都会下意识地想要帮助对方。","『必胜黄金之剑』
阶级：B（在一定条件下A+）　种类：对人宝具
Caliburn。
本来是用于选拔王者之剑。
对人宝具中的『对人』不是对敌人，
而是针对将要持剑之主。
当其持有者成为一名贯彻正确之举或是完美的王时，
其威力将不愧对于圣剑之名。","为了拯救神秘淡去且逐渐走向毁灭的
不列颠岛的命运之子。
是在先代王尤瑟与魔术师梅林的计划下，
被创造的『龙的化身』。
也因此被比喻成守护不列颠的红龙。
拥有隶属幻想种最高位的龙之心脏，
可在体内生成的魔力量远凌驾其他英灵。",?,花之启航,"在朝霞的映照下，船庄严地启航了。

这为曾在选定之地见到的那件事画上了一个休止符。
她通过这次旅程，与帝国缔结和平协议。
她通过这次旅程，目睹了故乡燃烧的岸边。

由人理构筑的历史无比坚固，
因而不能接受变革。

为成为王的少女的旅途即将结束。
祝愿其终点与『她』不同，
会充满了希望——",https://fgo.wiki/images/thumb/c/c6/%E8%8A%B1%E4%B9%8B%E5%90%AF%E8%88%AA.png/300px-%E8%8A%B1%E4%B9%8B%E5%90%AF%E8%88%AA.png,花之启航.png,-,
尼禄・克劳狄乌斯,5,150cm,42kg,史实,罗马,ネロ・クラウディウス,Nero Claudius,WADA ARUKO,丹下樱,Saber,女性,混沌·善,人,D,D,A,B,A,B,罗马、阿尔托莉雅脸、骑乘、王,"自称男装丽人。虽然是个自我至上主义者且擅自妄为，
但由于其开朗豁达，如同孩童般天真无邪，
因此成了被万民爱戴的万能任性皇帝。
本名是尼禄·克劳狄乌斯·恺撒·
奥古斯都·日耳曼尼库斯。
罗马帝政的第5代皇帝。
一生被阴谋与毒药所妆点的恶名昭彰的暴君。","身高／体重：150cm·42kg
出处：史实
地域：罗马
属性：混沌·善　　性别：女性
嗯，全都交给余来办吧！","自称艺术家，拥有独特的美学意识。
喜爱美少年以及美老年。当然更爱美少女。
但凡美丽的都喜欢。将自身讴歌为至高的艺术，
同时赞颂人们不同的人生也极为美丽。
……不言而喻，像这样享受人生的她的身姿，
正如同一朵盛开怒放的蔷薇。","皇帝特权：EX
即使是本不属于自己的技能，
也能因为本人的主张而得以短期持有。
与身为热情聚合体的尼禄相性超群的技能。
对应技能有骑乘、剑术、艺术、领袖气质、军略等。
阶级为Ａ以上时，
甚至会获得肉体方面的负担（比如神性等）。","『邀至心荡神驰的黄金剧场』
阶级：B　种类：对阵宝具
Aestus Domus Aurea。
能实现自己愿望的绝对皇帝圈。
通过魔力将她生前自己设计，
并建设于罗马的剧场「金宫」予以重现。
能创造出对她有利的战场。","将罗马人民的幸福与繁荣看得最重的皇帝。
自己也是个很会享受人生的达人，
自信在歌剧方面拥有无人能出其右的造诣。
（※ 仅限自信）
据说但凡听过她歌声的人，
整整三天三夜都会因冲击而痛苦不已，
连入睡后都会做起犹如蔷薇的（噩）梦。",？,雷鸣般的喝彩,"“筑成吧，余之魔天，在此彰显至上之光——”

该剧场名为金殿（Domus Aurea）。
是由鲜红天幕与黄金装饰而成的假想上天。
但此处并非徒具其表。
无论是辉煌的日子、
残酷的背叛、
还是无情的不理解、
无法实现的祝福。
她爱着这一切，歌颂这一切。

喝彩并非献给舞台上的主角。
而是献给在场所有人的人生。",https://fgo.wiki/images/thumb/0/00/%E9%9B%B7%E9%B8%A3%E8%88%AC%E7%9A%84%E5%96%9D%E5%BD%A9.png/300px-%E9%9B%B7%E9%B8%A3%E8%88%AC%E7%9A%84%E5%96%9D%E5%BD%A9.png,雷鸣般的喝彩.png,-,
齐格飞,6,190cm,80kg,尼伯龙根之歌,德国,ジークフリート,Sigefried,近卫乙嗣,诹访部顺一,Saber,男性,混沌·善,地,B+,A,B,C,E,A,龙、骑乘、天地从者、所爱之人、王,"「尼伯龙根之歌」所讴歌的万夫莫敌之英雄。
手持圣剑巴鲁姆克，打倒邪龙法夫纳的“屠龙者”。
为人沉默寡言，重情义。
在战场上总是一马当先保护同伴。","身高／体重：190cm·80kg
出处：尼伯龙根之歌
地域：德国
属性：混沌·善　　性别：男性
因诅咒，不得不露出后背。","齐格飞是中世纪叙事诗「尼伯龙根之歌」中
登场的大英雄。历经各种冒险，
他在旅途中获得了圣剑巴鲁姆克和能隐身的外套，
最终打倒了邪龙法夫纳。","全身沐浴龙血，
并饮下一滴龙血的齐格飞成了不死之身，
在战场上甚至不会受伤。然而这辉煌的荣耀，
却从他与勃艮第公主克琳希德结成夫妇时出现了阴影。","他实现了义兄的愿望，
然而却导致义兄之妻与克琳希德陷入对立状态。
而为了阻止争斗的发生，齐格飞被逼入了绝境，
只有终结自己的生命才能解决事态。
不断回报人们期待的他，
最后受到的期待却是自己的死亡。","『幻想大剑·天魔失坠』
阶级：A+　种类：对军宝具
拥有魔剑属性的黄昏之剑。
镶嵌在剑柄的蓝色宝玉内储藏着真以太，
在通过真名发动时使用。",？,莱茵的黄金,"雾之一族在临死之际向英雄道来。
曰「这财宝被诅咒了」。
正如雾之一族所说的。
一切都向不好的方向急转直下，
没有人能够阻止。

英雄本就对这黄金没什么执着。
然而，却也无法舍弃。
因为毋庸置疑，当舍弃的瞬间，
黄金必将为了寻求主人而散发出更为强烈的光辉。
于是终有一天，这诅咒应验了。",https://fgo.wiki/images/thumb/d/d7/%E8%8E%B1%E8%8C%B5%E7%9A%84%E9%BB%84%E9%87%91.png/300px-%E8%8E%B1%E8%8C%B5%E7%9A%84%E9%BB%84%E9%87%91.png,莱茵的黄金.png,-,
盖乌斯・尤利乌斯・恺撒,7,168cm,154kg,史实,欧洲,ガイウス・ユリウス・カエサル,Gaius Julius Caesar,SHIMADORILL,置鲇龙太郎,Saber,男性,中立·中庸,人,A,B,B,D,C,B+,神性、罗马、骑乘、所爱之人、王,"古代罗马最伟大的英雄之一。
在高卢战争以及不列颠尼亚远征中声名远播。
作为一名将军，是一位优秀的统治者。
英语名为西撒。
传说是女神维纳斯后裔，甚至曾与非人类妖精共育后代的风流成性的男子。","身高／体重：168cm·154kg
出处：史实
地域：欧洲
属性：中立·中庸　　性别：男性
同一句话喜欢说三遍。","不好对付的男人。野心家，擅长权谋。
是个同时具备巨大野心与令人畏惧的知性的男人，
是智略与辩才的名人。煽动的天才。
令他在诸多战场上获得胜利的优秀头脑，
也是他拥有的高阶级军略技能的体现。","煽动：EX
恺撒的固有技能。
学会能引导为数众多民众、市民的言语与行为。
尤其对个人使用时，会产生某种程度的精神攻击。
威力极为强大。","『黄之死』
阶级：B+　种类：对人宝具
Crocea Mors。黄金之剑。
在近身战方面虽然能够发挥见敌必胜的威力，
但本人非常不想拔剑。","好女色。爱罗马，当然也爱尼禄。
爱世界。也爱克娄巴特拉。
虽说对御主表现出高傲的言行，
但基本不会背叛。
夹杂着讥讽的言语是真心实意的忠告。",？,高卢战记,"高卢发生的事令我得以成长。
说实话，我根本不喜欢战场——
但将平稳与安宁视为理想深爱着的人性，
嗯，我应该得到了。

……能否就当是这么回事呢？
总得多少让这成为一段佳话吧。

什么？
你问高卢实际如何？

这个嘛。不坏吧。
与罗马权谋术数造成的血腥味相比，
战场上的那些还令人好受点。",https://fgo.wiki/images/thumb/1/12/%E9%AB%98%E5%8D%A2%E6%88%98%E8%AE%B0.png/300px-%E9%AB%98%E5%8D%A2%E6%88%98%E8%AE%B0.png,高卢战记.png,-,
阿蒂拉,8,160cm,48kg,史实,中亚,アルテラ,Altera,huke,能登麻美子,Saber,女性,混沌·善,人,B,A,A,B,A,A+,神性、骑乘、王,"建立起巨大帝国的大王。匈人之王阿提拉。
匈奴的后裔，匈人族的战士和王。
制霸了覆盖西亚至俄罗斯、东欧、高卢地区的
辽阔版图的五世纪的大英雄。
据说她导致了西罗马帝国的灭亡。","身高／体重：160cm·48kg
出处：史实
地域：中亚～欧洲
属性：混沌·善　　性别：女性
自出生以来就热爱着军神玛尔斯（阿瑞斯）。","直觉优秀，在面对各种事态时，
都能维持理性直面困难。拥有极高自尊心的战士。
总会令人感受到些许「空虚」的要素。
战斗时能冷静而正确的把握状况，
化为冷酷无情执行杀戮的战斗机械。","纯粹的『战斗王』。
相比战场上的武勋，其统治却并不成功，
自己死后，帝国迅速瓦解消失。
然而，代表着畏惧与恐怖的「阿提拉」之名，
直到现代仍停留在人们的记忆中。","『军神之剑』
阶级：A　种类：对军宝具
目前普遍认为此宝具来源于以下两者的结合：
她那令欧洲全境畏惧地称之为——
「神罚」与「神之鞭」的武力与恐怖，
以及她获得军神玛尔斯之剑的轶事。","宝具『军神之剑』表现出长剑的形状，
但不知为何令人觉得设计中带有一丝未来的要素。
据说由三色之光构成的「刀身」，
能够破坏在地面上「各种存在」。
当解放真正实力的时候，阶级与种类都会提升。",？,永劫孤独,"被囚禁在黑暗牢狱中的永劫孤独。
她完全无法认识到这点。
只有模糊的预感，在从者阿蒂拉心中骚动不已。",https://fgo.wiki/images/thumb/7/73/%E6%B0%B8%E5%8A%AB%E5%AD%A4%E7%8B%AC.png/300px-%E6%B0%B8%E5%8A%AB%E5%AD%A4%E7%8B%AC.png,永劫孤独.png,-,
吉尔・德・雷,9,186cm,91kg,史实,法国,ジル･ド･レェ,Gilles de Rais,SHINJIRO,鹤冈聪,Saber,男性,秩序·善,人,B,C,C,D,D,B,骑乘、所爱之人,"身高／体重：186cm·91kg
出处：史实
地域：法国
属性：秩序·善　　性别：男性
显得过度消瘦的美男子。兴致尚不是很高昂的时期。","法国贵族、军人。
百年战争时期与圣女贞德一起夺回了奥尔良，
被人们称颂为英雄。
清廉勇敢，被赋予了军人最高荣誉的元帅称号。","深爱艺术的吉尔·德·雷用其庞大的财产，
搜集各种艺术品。
本以为永远不会见底的财产被他瞬间浪费殆尽。
——蓝胡子。这成了后世人们对其的称呼。","圣女贞德对吉尔·德·雷而言是一切。
她才是这腐败现实中唯一的救赎，
对吉尔而言或许也是神灵存在的证明。",现实太过痛苦。坠入黑暗的时刻到来了。,"过去绝不会改变。无论曾经是个多么优秀的武将，
也无法改变他是杀人魔的事实。
尽管如此，他也不得不永远寻求救赎。",？,螺湮城教本,"得到的这本书，据说是用人皮做成的。
根据一般的看法，撰写了对人类亵渎的这本书，
原本是该被烧毁的存在。

然而。
对如今的他而言，这才是世界的真实。

「你蹂躏了我的圣女。」
向上天呼喊。
「因此，我也要蹂躏你创造的奇迹。
　肆意杀戮那些应该被爱的那些纯洁孩童们。」
男人的双眼变得漆黑，变得浑浊——",https://fgo.wiki/images/thumb/b/b7/%E8%9E%BA%E6%B9%AE%E5%9F%8E%E6%95%99%E6%9C%AC.png/300px-%E8%9E%BA%E6%B9%AE%E5%9F%8E%E6%95%99%E6%9C%AC.png,螺湮城教本.png,-,
骑士迪昂,10,157cm,45kg,史实,法国,シュヴァリエ・デオン,Chevalier d'Eon,森山大辅,斋藤千和,Saber,其他,中立·中庸,人,A,B,B,C,A,C,骑乘,"传说此人亦男亦女。
是十八～十九世纪法国传说中的人物。
文武双全的剑士和文学家。
作为机密局的间谍，活跃于对抗各国列强，
同时担任全权公使、龙骑兵队长等职务。","身高／体重：157cm·45kg
出处：史实
地域：法国
属性：中立·中庸　　性别：？
体重非本人申告，而是从外表推测的数据。","穿着一名男人的衣服，行为举止都像一名男性，
但其拥有着足以被称为惹人怜爱的少女般的美貌。
事实上，在成人前，其身着礼裙参加的社交圈中，
到处都能听闻「美丽姑娘」的传言。","为执行机密任务潜入俄罗斯帝国时，
其作为丽娅·德·博蒙小姐， 
与俄国女皇也有过甚多交流。
据说当时女皇与臣下也纷纷称颂其美貌过人。","秀丽风貌：C
固有技能。在服装的衬托下，更为其酝酿出一股
难辨雌雄的美丽（不是指外形容貌）氛围。
无论与男性还是女性交涉时，都会有加成判定。
另外，无视对特定性别的限定效果。","自我暗示：A
以自己为对象的强大暗示。固有技能。
对于那些在精神层面起作用的魔术、技能、宝具，
都具备极高的防御效果。
时为男性，时为女性。甚至能令肉体都发生变化……",？,王妃的赠礼,"白百合的王后赠与骑士迪昂的礼物。

「我赠与你这件你应该穿上的衣服，
　献给我出色的骑士」",https://fgo.wiki/images/thumb/0/0f/%E7%8E%8B%E5%A6%83%E7%9A%84%E8%B5%A0%E7%A4%BC.png/300px-%E7%8E%8B%E5%A6%83%E7%9A%84%E8%B5%A0%E7%A4%BC.png,王妃的赠礼.png,-,
