No,声优,
1,高桥李依,
2,川澄绫子,
3,川澄绫子,
4,川澄绫子,
5,丹下樱,
6,诹访部顺一,
7,置鲇龙太郎,
8,能登麻美子,
9,鹤冈聪,
10,斋藤千和,
11,诹访部顺一,
12,关智一,
13,鸟海浩辅,
14,早见沙织,
15,浅川悠,
16,鹤冈聪,
17,神奈延年,
18,大久保瑠美,
19,稻田彻,
20,中井和哉,
21,三木真一郎,
22,置鲇龙太郎,
23,浅川悠,
24,西前忠久,
25,西前忠久,
26,斋藤千和,
27,早见沙织,
28,坂本真绫,
29,种田梨沙,
30,早见沙织,
31,田中敦子,
32,鹤冈聪,
33,子安武人,
34,稻田彻,
35,子安武人,
36,关智一,
37,浪川大辅,
38,神奈延年,
39,三木真一郎,
40,稻田彻,
41,浅川悠,
42,田中敦子,
43,宫野真守,
44,置鲇龙太郎,
45,种田梨沙,
46,田中敦子,
47,西前忠久,
48,置鲇龙太郎,
49,安井邦彦,
50,鹤冈聪,
51,游佐浩二,
52,置鲇龙太郎,
53,鸟海浩辅,
54,鹤冈聪,
55,安井邦彦,
56,种田梨沙,
57,安井邦彦,
58,斋藤千和,
59,坂本真绫,
60,泽城美雪,
61,大久保瑠美,
62,斋藤千和,
63,中村悠一,
64,安井邦彦,
65,高乃丽,
66,野中蓝,
66,川澄绫子,
67,野中蓝,
68,悠木碧,
69,钉宫理惠,
70,能登麻美子,
71,绿川光,
72,黑田崇矢,
73,川澄绫子,
74,野中蓝,
75,丹下樱,
76,泽城美雪,
77,稻田彻,
78,川澄绫子,
79,三木真一郎,
80,稻田彻,
81,宫野真守,
82,野中蓝,
84,岛崎信长,
85,游佐浩二,
86,川澄绫子,
87,三木真一郎,
88,能登麻美子,
89,中井和哉,
90,丹下樱,
91,坂本真绫,
92,坂本真绫,
93,内山昂辉,
94,大久保瑠美,
95,远藤绫,
96,岛崎信长,
97,泽城美雪,
98,神奈延年,
99,佐仓绫音,
100,金元寿子,
101,泽城美雪,
102,安井邦彦,
103,寺岛拓笃,
104,江川央生,
105,高乃丽,
106,坂本真绫,
107,寺岛拓笃,
108,大冢明夫,
109,小山力也,
110,阿部彬名,
111,大原沙耶香,
112,悠木碧,
113,小松未可子,
114,户松遥,
115,游佐浩二,
116,东山奈央,
117,花江夏树,
118,子安武人,
119,川澄绫子,
120,田中美海,
121,置鲇龙太郎,
122,内山昂辉,
123,水岛大宙,
124,千本木彩花,
125,铃村健一,
126,宫野真守,
127,坂本真绫,
128,斋藤千和,
129,川澄绫子,
130,种田梨沙,
131,野中蓝,
131,川澄绫子,
132,泽城美雪,
133,能登麻美子,
134,种田梨沙,
135,早见沙织,
136,门胁舞以,
136,高野直子,
137,斋藤千和,
138,大久保瑠美,
139,钉宫理惠,
140,江川央生,
141,坂本真绫,
142,植田佳奈,
143,小林优,
144,远藤绫,
145,关智一,
146,浅川悠,
147,浅川悠,
148,伊藤美纪,
150,樱井孝宏,
153,佐仓绫音,
154,中田让治,
155,川澄绫子,
156,土师孝也,
157,诹访部顺一,
158,竹内良太,
159,冈本信彦,
160,樱井孝宏,
161,星野贵纪,
162,阿澄佳奈,
163,早见沙织,
164,小仓唯,
165,东山奈央,
166,下屋则子,
167,田中理惠,
169,井上喜久子,
170,井泽诗织,
171,嶋村侑,
172,大冢芳忠,
173,水岛大宙,
174,小见川千明,
175,丹下樱,
176,野中蓝,
177,田中美海,
178,钉宫理惠,
179,川澄绫子,
180,金元寿子,
181,户松遥,
182,植田佳奈,
183,下屋则子,
184,金元寿子,
185,佐仓绫音,
186,浪川大辅,
187,山路和弘,
188,明坂聪美,
189,福圆美里,
190,大久保瑠美,
191,大久保瑠美,
192,茜屋日海夏,
193,小仓唯,
194,佐藤聪美,
195,大和田仁美,
196,植田佳奈,
197,能登麻美子,
198,Yukana,
199,真堂圭,
200,能登麻美子,
201,原由实,
202,早见沙织,
203,宫本充,
204,关俊彦,
205,黑田崇矢,
206,古川慎,
207,武内骏辅,
208,花江夏树,
209,悠木碧,
210,吉野裕行,
211,加濑康之,
211,堀江由衣,
212,日野聪,
213,津田健次郎,
214,田中美海,
214,小松未可子,
214,雨宫天,
215,能登麻美子,
216,坂本真绫,
217,东山奈央,
218,早见沙织,
219,坂本真绫,
220,下屋则子,
221,佐仓绫音,
222,川澄绫子,
223,绿川光,
224,门胁舞以,
225,悠木碧,
226,山寺宏一,
227,森奈奈子,
228,下屋则子,
229,福山润,-
230,伊濑茉莉也,
231,绿川光,
232,森永千才,
233,远藤绫,
234,久野美咲,
235,安井邦彦,
236,名塚佳织,
237,茅野爱衣,
238,潘惠美,
